age,weight,height,income,smoker,city,occupation,insurance_premium_category
24,70.6,1.61,10733,No,Tulsipur,Student,Low
33,55.2,1.54,24782,No,Janakpur,Student,Low
56,65.7,1.77,35301,No,Lalitpur,Student,Low
26,53.7,1.45,28752,No,Kathmandu,Student,Low
28,50.2,1.61,20380,Yes,Dharan,Sales Executive,Medium
42,47.2,1.52,19949,No,Butwal,Student,Low
33,49.7,1.58,19951,No,Janakpur,Office Assistant,Low
56,64.5,1.64,18080,No,Bhairahawa,Office Assistant,Low
55,74.0,1.58,14717,No,Bharatpur,Office Assistant,Medium
46,49.0,1.67,8465,No,Bharatpur,Student,Low
59,73.7,1.61,14908,No,Hetauda,Student,Low
33,67.6,1.56,9747,No,Pokhara,Intern,Low
29,63.8,1.62,21682,Yes,Janakpur,Sales Executive,Low
40,73.8,1.78,15471,No,Butwal,Student,Low
39,46.0,1.65,23620,No,Bhairahawa,Student,Low
46,71.4,1.76,26830,No,Kathmandu,Teacher Assistant,Low
30,57.8,1.71,19975,No,Biratnagar,Intern,Low
25,90.5,1.62,15609,No,Dhangadhi,Teacher Assistant,Low
43,60.2,1.8,22746,No,Pokhara,Office Assistant,Low
54,58.2,1.57,36891,No,Dharan,Engineer,Low
49,90.4,1.76,16616,No,Bharatpur,Student,Low
50,48.9,1.68,35063,No,Kathmandu,Office Assistant,Low
49,71.0,1.73,3891,No,Hetauda,Student,Low
24,84.5,1.72,9405,Yes,Biratnagar,Student,Low
30,45.0,1.63,25533,No,Biratnagar,Intern,Low
51,49.6,1.51,19313,No,Itahari,Office Assistant,Low
27,68.6,1.62,18485,No,Dharan,Student,Medium
46,64.8,1.53,21342,No,Biratnagar,Student,Low
28,57.7,1.64,31278,No,Dhangadhi,Software Developer,Low
24,73.7,1.71,28237,No,Kathmandu,Engineer,Low
64,85.2,1.64,14606,No,Pokhara,Student,High
38,66.8,1.61,8085,No,Lalitpur,Student,Low
40,62.7,1.7,16616,No,Kathmandu,Student,Low
38,70.3,1.69,9523,No,Butwal,Student,Low
33,67.5,1.61,24796,Yes,Butwal,Student,Medium
33,61.7,1.63,29270,No,Bhairahawa,Designer,Low
45,52.7,1.61,28369,No,Bhairahawa,Software Developer,Low
36,62.7,1.64,10354,No,Bhairahawa,Student,Low
19,50.7,1.62,18060,No,Kathmandu,Intern,Low
50,52.6,1.5,20819,No,Hetauda,Office Assistant,Low
24,74.9,1.67,23886,No,Butwal,Intern,Low
29,85.2,1.76,35572,Yes,Pokhara,Engineer,Medium
23,64.1,1.69,17948,No,Janakpur,Intern,Low
24,63.8,1.64,6642,No,Dharan,Intern,Low
19,77.2,1.65,19993,No,Butwal,Office Assistant,Low
54,59.6,1.71,11874,No,Itahari,Part-time Worker,Low
29,48.4,1.71,35569,Yes,Pokhara,Office Assistant,Medium
54,55.8,1.69,34217,No,Hetauda,Software Developer,Low
36,50.1,1.62,12373,No,Bharatpur,Intern,Low
27,78.4,1.52,16490,No,Hetauda,Student,Low
62,48.9,1.63,22943,No,Bhairahawa,Student,Low
47,79.4,1.62,32816,No,Dhangadhi,Software Developer,Low
26,61.7,1.56,12766,No,Biratnagar,Part-time Worker,Low
59,55.4,1.69,17744,No,Janakpur,Student,Low
61,51.1,1.45,16611,No,Bhairahawa,Intern,Low
39,72.2,1.62,25007,Yes,Pokhara,Student,Medium
30,54.8,1.74,9384,No,Hetauda,Student,Low
42,66.1,1.68,30385,No,Lalitpur,Software Developer,Low
39,61.5,1.56,12353,No,Gorkha,Student,Low
19,47.7,1.46,39252,No,Pokhara,Engineer,Low
57,70.0,1.69,11833,Yes,Butwal,Student,Low
41,61.0,1.71,36137,Yes,Janakpur,Software Developer,Low
27,67.8,1.71,27337,Yes,Biratnagar,Sales Executive,Low
54,59.1,1.68,16278,No,Kathmandu,Student,Low
56,71.7,1.61,13278,No,Bharatpur,Part-time Worker,Low
61,46.6,1.56,23904,Yes,Itahari,Designer,Medium
19,66.0,1.6,20342,No,Biratnagar,Student,Low
56,53.4,1.58,14905,Yes,Dharan,Student,Medium
55,60.8,1.7,30172,No,Butwal,Student,Medium
26,40.0,1.46,29894,No,Pokhara,Sales Executive,Low
49,56.6,1.67,33089,No,Pokhara,Office Assistant,Low
46,45.6,1.56,9570,No,Janakpur,Student,Low
55,44.6,1.55,11211,No,Pokhara,Student,Low
53,66.2,1.69,21560,Yes,Kathmandu,Teacher Assistant,Low
62,96.2,1.77,26119,Yes,Gorkha,Engineer,High
40,74.6,1.81,10898,No,Dhangadhi,Student,Low
27,78.0,1.77,17457,No,Biratnagar,Student,Low
47,45.6,1.56,38172,No,Gorkha,Software Developer,Low
57,61.8,1.63,17711,No,Bhairahawa,Part-time Worker,Low
44,59.4,1.55,20297,No,Biratnagar,Office Assistant,Low
61,51.9,1.54,16508,No,Butwal,Student,Medium
60,54.6,1.56,14397,Yes,Butwal,Student,Medium
40,77.3,1.57,14299,No,Kathmandu,Intern,Low
35,73.2,1.71,13448,Yes,Butwal,Part-time Worker,Low
62,59.2,1.65,12981,No,Dharan,Student,Low
42,67.4,1.74,20672,No,Dharan,Part-time Worker,Low
63,74.2,1.8,28178,No,Lalitpur,Part-time Worker,Medium
61,57.6,1.83,21662,No,Nepalgunj,Office Assistant,Low
61,56.3,1.68,29019,No,Kathmandu,Intern,Low
19,64.0,1.62,14870,No,Pokhara,Sales Executive,Low
62,83.5,1.66,17816,No,Dhangadhi,Student,Medium
61,65.3,1.75,28354,No,Pokhara,Student,Medium
27,70.0,1.71,36808,No,Biratnagar,Engineer,Low
39,64.2,1.63,21789,No,Gorkha,Sales Executive,Low
50,48.0,1.71,29526,Yes,Tulsipur,Engineer,Low
44,84.9,1.7,26486,No,Dharan,Engineer,Low
34,60.0,1.66,14294,No,Tulsipur,Intern,Low
54,50.2,1.67,15542,No,Dhangadhi,Part-time Worker,Low
63,78.2,1.63,26967,No,Itahari,Engineer,Medium
49,75.9,1.76,11889,No,Tulsipur,Student,Low
42,58.9,1.57,6581,No,Nepalgunj,Student,Low
20,48.9,1.55,12076,No,Lalitpur,Student,Low
25,66.9,1.74,18309,No,Butwal,Intern,Low
49,68.3,1.72,17223,No,Janakpur,Part-time Worker,Low
50,72.9,1.75,15503,Yes,Bharatpur,Part-time Worker,Medium
54,66.9,1.63,3508,Yes,Tulsipur,Student,Low
64,74.3,1.65,17411,No,Bharatpur,Student,Medium
37,65.3,1.59,14904,No,Biratnagar,Student,Low
33,59.8,1.61,39674,No,Tulsipur,Software Developer,Medium
54,58.2,1.7,24874,No,Kathmandu,Engineer,Medium
61,76.3,1.68,6877,No,Bharatpur,Student,Low
48,73.9,1.63,17431,No,Kathmandu,Student,Low
48,54.8,1.53,14635,No,Hetauda,Teacher Assistant,Low
20,53.0,1.59,9540,Yes,Dhangadhi,Part-time Worker,Low
22,63.2,1.59,15486,No,Biratnagar,Student,Low
56,40.0,1.59,17134,Yes,Pokhara,Part-time Worker,Medium
41,48.0,1.5,24128,No,Dharan,Designer,Low
34,47.6,1.68,6408,Yes,Janakpur,Student,Low
45,58.8,1.56,15361,No,Hetauda,Intern,Low
43,75.5,1.67,10040,No,Hetauda,Intern,Low
42,68.1,1.51,22528,No,Janakpur,Engineer,Medium
27,66.4,1.63,32414,No,Tulsipur,Designer,Low
53,81.6,1.82,19907,No,Dharan,Student,Low
55,93.9,1.76,17879,Yes,Nepalgunj,Student,Medium
38,71.4,1.62,17829,Yes,Biratnagar,Part-time Worker,Medium
58,69.9,1.56,23711,No,Biratnagar,Teacher Assistant,Medium
20,57.0,1.59,25956,Yes,Tulsipur,Engineer,Low
49,59.2,1.63,22254,Yes,Nepalgunj,Engineer,Low
57,90.9,1.73,19316,No,Lalitpur,Part-time Worker,Medium
18,52.1,1.45,6349,No,Tulsipur,Student,Low
48,70.5,1.67,10480,No,Kathmandu,Student,Low
46,44.7,1.48,20986,No,Lalitpur,Part-time Worker,Low
45,73.2,1.81,15896,No,Bharatpur,Intern,Low
47,49.9,1.84,37785,Yes,Hetauda,Software Developer,Low
61,49.6,1.54,19785,No,Lalitpur,Office Assistant,Low
20,67.4,1.6,22920,No,Biratnagar,Office Assistant,Low
38,75.9,1.6,16162,No,Bharatpur,Intern,Low
30,47.5,1.45,16026,No,Butwal,Teacher Assistant,Low
48,59.0,1.87,17912,No,Hetauda,Intern,Low
39,71.3,1.83,32844,Yes,Kathmandu,Office Assistant,Low
21,74.8,1.61,28555,No,Pokhara,Office Assistant,Low
37,62.0,1.55,12593,No,Bhairahawa,Intern,Low
61,69.0,1.69,38838,No,Pokhara,Software Developer,Medium
40,62.5,1.72,29037,No,Lalitpur,Part-time Worker,Low
64,61.5,1.65,16969,Yes,Pokhara,Intern,Low
45,65.3,1.82,17205,No,Biratnagar,Part-time Worker,Medium
20,74.6,1.61,14222,No,Dharan,Teacher Assistant,Low
47,76.5,1.78,28886,No,Dharan,Software Developer,Low
24,67.8,1.72,23893,No,Bharatpur,Software Developer,Low
23,66.0,1.68,16056,No,Itahari,Intern,Low
40,64.0,1.63,32769,No,Kathmandu,Part-time Worker,Medium
41,65.8,1.7,14623,No,Janakpur,Student,Low
44,54.0,1.81,40705,Yes,Gorkha,Software Developer,Low
51,51.2,1.58,12572,Yes,Nepalgunj,Sales Executive,Low
36,88.4,1.69,21133,Yes,Itahari,Engineer,Medium
53,49.0,1.76,33653,No,Dharan,Software Developer,Low
23,46.3,1.58,10079,Yes,Nepalgunj,Student,Medium
45,75.8,1.68,27151,No,Hetauda,Software Developer,Low
61,69.1,1.58,18181,No,Tulsipur,Office Assistant,Low
56,81.9,1.68,24874,No,Lalitpur,Part-time Worker,Medium
55,74.7,1.77,12806,No,Biratnagar,Student,Low
40,64.9,1.63,20113,Yes,Bharatpur,Part-time Worker,Medium
57,61.5,1.57,28001,No,Gorkha,Part-time Worker,Low
40,87.3,1.63,22836,Yes,Tulsipur,Office Assistant,Low
50,66.3,1.68,11269,No,Tulsipur,Part-time Worker,Low
61,74.7,1.74,18436,Yes,Tulsipur,Intern,Medium
31,67.9,1.53,8746,Yes,Itahari,Student,Medium
54,51.6,1.55,15750,Yes,Butwal,Part-time Worker,Medium
29,62.4,1.64,14347,No,Hetauda,Student,Low
49,56.6,1.54,15887,Yes,Dharan,Student,Low
59,91.3,1.81,24030,Yes,Bhairahawa,Intern,Medium
23,77.4,1.8,39003,No,Butwal,Engineer,Low
31,55.5,1.67,15074,No,Butwal,Intern,Low
55,58.0,1.66,29682,Yes,Lalitpur,Software Developer,Low
